,,AGENTS PRODUCTIVITY REPORT,,,,
,,,,Report ID :,UC_REPM_011,
From Date :,1/8/2025,,,,,
,,,,Print Date :,27/08/2025,
To Date      :,25/08/2025,,,,,
,,,,Print Time :,13.04.50,Zulu
"Agent Code
","Agent Name
",Current Sale(USD),YTD Sale for the Month(USD),YTD Sale(USD),,
GSA8,ANTA Travel & Tourism,"245,276.78","245,276.78","6,188,404.51",,
GSA10,DOHA OFFICE TRAVEL,"93,649.62","93,649.62","2,538,635.50",,
GSA19,ISTEHKAK FOR TOURISM SERVICES,"20,512.55","20,512.55","20,512.55",,
GSA3,Orient Travels,"95,442.58","95,442.58","3,545,999.98",,
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,"123,262.91","123,262.91","2,043,791.75",,
GSA7,SALEM TRAVEL AGENCY,"88,353.45","88,353.45","2,974,485.23",,
GSA18,SARIGOL TYRIZM -,"21,145.39","21,145.39","78,807.76",,
GSA15,alshahin travel & tourism,"222,879.89","222,879.89","2,606,854.49",,
DAM118,ADVANCED,"6,351.01","6,351.01","45,637.48",,
DXB10,AIRLINK INTERNATIONAL UAE,"1,066.61","1,066.61","45,068.73",,
HSK2,AKAD TRAVEL HASAKEH,311.55,311.55,"21,672.99",,
SHJ6,AL FAISAL TRAVEL AGENCY,"3,864.12","3,864.12","72,362.25",,
AUH1,AL JABER TRAVEL LLC,40.88,40.88,"14,229.44",,
DXB48,AL MOUKTAR TRAVEL & TOURISM LLC,"14,812.55","14,812.55","195,573.10",,
DXB84,AL MUTAMYZON TRAVEL AND TOURISM,648.13,648.13,"6,302.16",,
DXB44,AL ZAMEL TRAVEL & TOURISM,"4,647.26","4,647.26","130,347.53",,
QHM13,AL asal usd,"3,390.79","3,390.79","4,021.86",,
DAM57,ALAGHAR,"9,062.22","9,062.22","81,898.59",,
DXB22,ALAGHARDXB,"5,801.12","5,801.12","114,126.35",,
KWI3,ALAJWA,"2,067.78","2,067.78","63,046.01",,
DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,"18,012.91","18,012.91","153,141.41",,
DAM203,ALANWAR,543.42,543.42,543.42,,
DAM204,ALANWAR usd,"2,464.26","2,464.26","2,464.26",,
ALP10,ALASAAD,261.2,261.2,"4,685.07",,
QHM6,ALASAL,"22,187.16","22,187.16","125,379.02",,
DXB70,ALASAL TOURISM & TRAVEL LLC,"18,406.10","18,406.10","164,119.86",,
KWI12,ALATHEER,392.9,392.9,"5,271.65",,
DAM44,ALAWABEEN,"12,387.61","12,387.61","71,823.78",,
QHM12,ALAWABEEN usd,"10,373.60","10,373.60","10,861.91",,
QHM4,ALBAZ,"9,227.69","9,227.69","70,275.21",,
DAM67,ALDAWLY,"36,978.37","36,978.37","212,565.24",,
KWI14,ALFANAR,681.44,681.44,"43,803.99",,
AUH7,ALFAYHAA,"5,907.10","5,907.10","99,583.62",,
DAM146,ALHASHIME INTRNATIONAL,"45,088.83","45,088.83","167,214.33",,
KWI10,ALKHALIJIA,"14,610.48","14,610.48","317,759.28",,
AUH5,MAKAREM,"7,674.42","7,674.42","236,448.02",,
DAM70,MARROTA,"32,860.12","32,860.12","110,899.72",,
DAM96,MASA,"8,963.90","8,963.90","105,488.16",,
DAM26,MAWAKEB ALSHARQ,"9,888.50","9,888.50","48,207.54",,
AUH9,MESBAR ALSAADAH,381.43,381.43,"6,089.12",,
DAM48,MOUNTAIN ROSE,"2,619.62","2,619.62","34,312.59",,
DXB15,NARJIS,"1,557.77","1,557.77","63,645.23",,
IST14,Nevada Turizm,"20,762.04","20,762.04","60,711.22",,
AUH22,OK TRAVELS AND TOURISM LLC,354.14,354.14,"2,378.05",,
DAM69,ORFALI,"5,438.45","5,438.45","78,441.34",,
DXB11,PACK & GO TRAVEL TOURISM LLC,"12,545.59","12,545.59","197,804.49",,
AUH3,PALM OASIS,"15,695.72","15,695.72","204,045.84",,
DXB23,PALMYRADXB,787.59,787.59,"113,281.91",,
SHJ12,PERFECT TRAVEL,267.37,267.37,"65,503.39",,
SHJ8,PETRA,"3,054.02","3,054.02","117,398.58",,
DXB58,PHOENIQ TRAVEL AGENCY LLC,"11,268.09","11,268.09","126,929.69",,
SHJ11,Prive Creative Travel FZE,"2,270.50","2,270.50","76,843.70",,
KWI30,QGO,653.79,653.79,"14,554.03",,
DXB61,RAHLAT MOHTARIF TRAVEL AGENCY LLC,"6,900.62","6,900.62","90,723.31",,
DXB43,RAMAT TRAVEL AND TOURISM DXB,"17,086.57","17,086.57","361,300.59",,
QHM5,SAMA ALFARES,"6,097.84","6,097.84","23,837.81",,
QSW4,SAMA ALOPHOQ,"1,440.35","1,440.35","26,038.93",,
AAN2,SAMA AUH,"7,515.66","7,515.66","50,668.57",,
DXB49,SAMAALOPHOQ TRAVEL & TOURISM,"3,408.09","3,408.09","117,473.33",,
AUH26,SATGURU TRAVEL,395.03,395.03,"5,902.16",,
DAM87,SHAM WATFEH,"12,652.79","12,652.79","78,787.90",,
