,,COMPANY PAYMENTS,,,,,,,,,,
,,Summary Report,,,,,,,,,,
From Date,01/01/2025,,,,,,,,,Report ID,UC_REPM_02,
To Date,22/09/2025,,,,,,,,,Print Date,24/09/2025,
Entity,Reservation,,,,,,,,,Print Time,15:13:46,ZULU
Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail
AAN2,SAMA AUH,,AUH00013,AED,"86,468.00","21,498.00","83,800.00",0.00,"204,199.00","14,383.00","189,816.00",Detail
AAN2,SAMA AUH,,AUH00013,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
ALP1,BAROUN SALES OFFICE,,09632125,SAR,200.00,90.00,112.00,0.00,402.00,0.00,402.00,Detail
ALP1,BAROUN SALES OFFICE,,09632125,SYP,"644,146,513.00","111,937,957.00","294,820,981.00",0.00,"1,050,905,451.00",0.00,"1,050,905,451.00",Detail
ALP1,BAROUN SALES OFFICE,,09632125,USD,"51,098.36","9,002.85","24,783.51",0.00,"84,884.72",0.00,"84,884.72",Detail
ALP10,ALASAAD,,00218,SYP,"30,400,111.00","6,160,564.00","18,211,153.00",0.00,"54,771,828.00",0.00,"54,771,828.00",Detail
ALP11,SAKKAL,,00225,SYP,"1,911,905.00","342,952.00","1,160,862.00",0.00,"3,415,719.00",0.00,"3,415,719.00",Detail
ALP13,ALSALAMALDWLEA,,alp000262,SYP,"1,459,370.00","342,731.00","829,187.00",0.00,"2,631,288.00",0.00,"2,631,288.00",Detail
ALP15,PREVIEW,,0078,SYP,"3,477,811.00","1,131,810.00","3,723,544.00",0.00,"8,333,165.00",0.00,"8,333,165.00",Detail
ALP18,ALAKKAD,,0018,SYP,"7,912,723.00","1,778,149.00","5,758,887.00",0.00,"19,494,260.00","4,044,501.00","15,449,759.00",Detail
ALP18,ALAKKAD,,0018,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
ALP2,AZBAKIA SALES OFFICE,,09632114,AED,188.00,9.00,110.00,0.00,307.00,0.00,307.00,Detail
ALP2,AZBAKIA SALES OFFICE,,09632114,SYP,"-18,590,458.00","12,503,845.00","19,731,068.00",0.00,"706,137,990.00","693,475,106.00","12,662,884.00",Detail
ALP2,AZBAKIA SALES OFFICE,,09632114,USD,"26,030.55","4,913.83","13,335.06",0.00,"44,279.44",0.00,"44,279.44",Detail
ALP4,ALMALLA,,00136,SYP,"106,761,553.00","23,452,624.00","71,649,899.00",0.00,"201,864,076.00",0.00,"201,864,076.00",Detail
ALP4,ALMALLA,,00136,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
ALP5,DELTA,,00142,SYP,"6,447,589.00","1,168,042.00","2,826,611.00",0.00,"10,442,242.00",0.00,"10,442,242.00",Detail
ALP6,SARAYA,,00150,SYP,"529,022.00","475,843.00","1,492,537.00",0.00,"2,497,402.00",0.00,"2,497,402.00",Detail
ALP7,ALEPPO AIRPORT SALES OFFICE,09632140,09632140,SYP,"5,843,007.00","1,028,966.00","2,985,075.00",0.00,"9,857,048.00",0.00,"9,857,048.00",Detail
AUH1,AL JABER TRAVEL LLC,,AUH0001,AED,"22,844.00","4,231.00","14,947.00",0.00,"52,034.00","10,262.00","41,772.00",Detail
AUH10,ALMOUED,,AUH0006,AED,"15,873.00","3,634.00","12,145.00",0.00,"41,825.00","10,423.00","31,402.00",Detail
AUH10,ALMOUED,,AUH0006,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
AUH11,GOLDEN LINK,,AUH0008,AED,"118,146.00","25,614.00","102,377.00",0.00,"263,042.00","16,905.00","246,137.00",Detail
AUH11,GOLDEN LINK,,AUH0008,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
AUH13,ADVANCEDAUH,,AUH00012,AED,"3,704.00",899.00,"3,022.00",0.00,"8,358.00",733.00,"7,625.00",Detail
AUH14,Arabian nights travel,,AUH00023,AED,"72,629.00","14,706.00","54,313.00",0.00,"141,648.00",0.00,"141,648.00",Detail
AUH14,Arabian nights travel,,AUH00023,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
