,,RESERVATION BREAKDOWN,,,,,,
,,Summary Report,,,,,,
,,,,,,Report ID :,UC_REPM_001,
From Date,: 01/08/2025,,,,,Print Date :,30/08/2025,
To Date,: 30/08/2025,,,,,Print Time :,11.34.27,Zulu
Travel Agent ,Travel Agent Name,Fare(USD),Taxes(USD),Surcharges(USD),Total(USD),Refund(USD),To Detail,
GSA8,ANTA Travel & Tourism,"73,444.47","35,126.19","135,450.00","244,020.66","2,640.58",Detail,
GSA10,DOHA OFFICE TRAVEL,"68,769.90","18,635.59","41,787.00","129,192.49","4,387.16",Detail,
GSA19,ISTEHKAK FOR TOURISM SERVICES,"15,445.35",193.2,"4,125.00","19,763.55",0,Detail,
GSA3,Orient Travels,"28,862.20","13,760.36","52,212.00","94,834.56",778.31,Detail,
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,"51,108.37","17,431.65","68,645.25","137,185.27","1,407.41",Detail,
GSA7,SALEM TRAVEL AGENCY,"30,130.75","13,114.83","50,075.25","93,320.83",279.06,Detail,
GSA18,SARIGOL TYRIZM -,"11,104.66","2,215.53","7,590.00","20,910.19",249.8,Detail,
GSA15,alshahin travel & tourism,"121,741.07","35,059.77","84,320.00","241,120.84","4,335.86",Detail,
DAM7,AIRPORT SALES OFFICE,"25,196.82","4,938.70","13,923.25","44,058.77",0,Detail,
ALP7,ALEPPO AIRPORT SALES OFFICE,0,0,0,0,0,Detail,
DAM2,ALHIJAZ OFFICE,"96,658.04","23,969.17","70,161.75","190,788.96",578.49,Detail,
ALP2,AZBAKIA SALES OFFICE,"2,752.95",613.28,"1,605.00","4,971.23",0,Detail,
ALP1,BAROUN SALES OFFICE,"2,398.16",646.63,"1,815.00","4,859.79",0,Detail,
QDR1,DARAA SALES OFFICE,"4,231.95","1,243.88","3,870.00","9,345.83",0,Detail,
DAM213,Dam Intfair,767,141.14,330,"1,238.14",0,Detail,
DAM9,FARES SECTION,0,0,0,0,0,Detail,
QHM1,HAMA SALES OFFICE,"3,483.90",745.5,"1,965.00","6,194.40",0,Detail,
DAM84,HOMS SALES OFFICE,"2,538.15",673.88,"1,710.00","4,922.03",0,Detail,
KAC1,KAMESHLI SALES OFFICE,285,0,0,285,"2,487.79",Detail,
KWI1,KUWAIT SALES OFFICE,"11,581.31","2,862.46","9,615.94","24,059.71","2,531.06",Detail,
LTK1,LATAKIA SALES OFFICE,"2,461.60",636.64,"2,145.00","5,243.24",0,Detail,
DOH1,RB DOH OFFICE,"2,786.36",678.88,"1,560.00","5,025.24",0,Detail,
DAM8,RESERVATION SECTION,"72,392.87","18,388.80","39,210.00","129,991.67",0,Detail,
DAM001,Syrian Air,0,0,0,0,0,Detail,
QTR1,TARTOUS SALES OFFICE,"3,463.63","1,120.39","3,450.00","8,034.02",0,Detail,
DAM18,call center,"16,229.62","4,005.98","11,535.00","31,770.60",238,Detail,
DAM118,ADVANCED,"3,794.68",955.19,"2,400.00","7,149.87",0,Detail,
DXB10,AIRLINK INTERNATIONAL UAE,392.6,186.39,780,"1,358.99",0,Detail,
HSK2,AKAD TRAVEL HASAKEH,387,65.06,195,647.06,0,Detail,
SHJ6,AL FAISAL TRAVEL AGENCY,912.8,491.32,"2,460.00","3,864.12",0,Detail,
DXB48,AL MOUKTAR TRAVEL & TOURISM LLC,"3,259.11","2,542.21","9,120.00","14,921.32",0,Detail,
DXB84,AL MUTAMYZON TRAVEL AND TOURISM,286,62.13,300,648.13,0,Detail,
DXB44,AL ZAMEL TRAVEL & TOURISM,"1,597.58",504.8,"2,430.00","4,532.38",0,Detail,
QHM13,AL asal usd,"1,985.25",452.25,"1,560.00","3,997.50",0,Detail,
DAM57,ALAGHAR,"4,424.07","1,223.15","3,315.00","8,962.22",0,Detail,
DXB22,ALAGHARDXB,"2,983.54",617.82,"2,070.00","5,671.36",0,Detail,
KWI3,ALAJWA,"1,068.71",229.57,769.5,"2,067.78",0,Detail,
DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,"6,386.81","3,024.91","11,295.00","20,706.72",207.07,Detail,
DAM203,ALANWAR,286,57.42,150,493.42,0,Detail,
DAM204,ALANWAR usd,"1,542.30",318.03,870,"2,730.33",0,Detail,
ALP10,ALASAAD,157,29.2,75,261.2,0,Detail,
QHM6,ALASAL,"12,150.53","2,818.77","8,385.00","23,354.30","2,698.81",Detail,
DXB70,ALASAL TOURISM & TRAVEL LLC,"6,757.47","2,812.99","9,890.25","19,460.71",0,Detail,
KWI12,ALATHEER,197.4,39,156.5,392.9,0,Detail,
DAM44,ALAWABEEN,"7,661.68","1,792.88","4,860.00","14,314.56",0,Detail,
QHM12,ALAWABEEN usd,"5,406.25","1,232.35","3,825.00","10,463.60",0,Detail,
QHM4,ALBAZ,"5,077.91","1,422.16","3,870.00","10,370.07",0,Detail,
