,,,,SEAT INVENTORY AND COLLECTIONS,,,,,,,
Report ID,: UC_REPM_015,,,,,,,,,,
From Date,: 15/09/2025,,,,,,,Print Date :,15/09/2,,
To Date,: 01/10/2025,,,,,,,Print Time :,11:06,,
Flight Date,Flight No,Segment,COS,Seats Allocate,Seats Sold,On Hold,Seats Available,Fare Collection(USD),Seat Factor,Sold Seats ,Ava.Seats 
9/15/2025,RB443,DAM/IST,C,12,0,0,12,0,0%,0,12
9/15/2025,RB443,DAM/IST,Y,141,80,0,61,"7,359.35",57%,80,61
9/15/2025,RB515,DAM/DXB,C,12,0,0,12,0,0%,0,12
9/15/2025,RB515,DAM/DXB,Y,145,65,0,80,"5,510.34",45%,65,80
9/15/2025,RB444,IST/ALP,C,12,0,0,12,0,0%,0,12
9/15/2025,RB444,IST/ALP,Y,141,45,0,96,"3,162.92",32%,45,96
9/15/2025,RB517,ALP/DXB,C,12,3,0,9,"1,237.24",25%,3,9
9/15/2025,RB517,ALP/DXB,Y,141,64,0,77,"8,236.44",45%,64,77
9/15/2025,RB516,DXB/DAM,C,12,4,0,8,"1,232.54",33%,4,8
9/15/2025,RB516,DXB/DAM,Y,145,54,0,91,"3,372.80",37%,54,91
9/15/2025,RB521,DAM/DOH,C,12,2,0,10,507,17%,2,10
9/15/2025,RB521,DAM/DOH,Y,148,98,0,50,"14,797.62",66%,98,50
9/15/2025,RB518,DXB/ALP,C,12,1,0,11,361.27,8%,1,11
9/15/2025,RB518,DXB/ALP,Y,138,35,0,103,"2,938.34",25%,35,103
9/15/2025,RB522,DOH/DAM,C,12,1,0,11,253.5,8%,1,11
9/15/2025,RB522,DOH/DAM,Y,148,56,0,92,"7,449.31",38%,56,92
9/15/2025,RB445,ALP/IST,C,12,0,0,12,0,0%,0,12
9/15/2025,RB445,ALP/IST,Y,141,43,0,98,"3,099.40",30%,43,98
9/16/2025,RB446,IST/DAM,C,12,0,0,12,0,0%,0,12
9/16/2025,RB446,IST/DAM,Y,138,29,0,109,"2,444.31",21%,29,109
9/16/2025,RB515,DAM/DXB,C,12,0,0,12,0,0%,0,12
9/16/2025,RB515,DAM/DXB,Y,145,42,0,103,"3,351.25",29%,42,103
9/16/2025,RB341,DAM/KWI,C,12,6,0,6,"1,060.52",50%,6,6
9/16/2025,RB341,DAM/KWI,Y,148,144,0,4,"13,940.40",97%,144,4
9/16/2025,RB342,KWI/DAM,C,12,1,0,11,227.25,8%,1,11
9/16/2025,RB342,KWI/DAM,Y,148,41,0,107,"3,638.04",28%,41,107
