,,,,SEAT INVENTORY AND COLLECTIONS,,,,,,,,,,,,,
Report ID,: UC_REPM_015,,,,,,,,,,,,,,,,
From Date,: 25/10/2023,,,,,,,,,,Print Date :,21/09/2,,,,,
To Date,: 25/10/2025,,,,,,,,,,Print Time :,10:27:,Zulu,,,,
Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
10/25/2023,RB504,AUH/LTK,C,27,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,27
10/25/2023,RB504,AUH/LTK,Y,250,0,0,0,0,0,169,0.00,0 %,0.00,ACT,0.00,0,250
10/25/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,19,0.00,0 %,0.00,ACT,0.00,0,27
10/25/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,31,0.00,0 %,0.00,ACT,0.00,0,254
10/25/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,17,0.00,0 %,0.00,ACT,0.00,0,27
10/25/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,156,0.00,0 %,0.00,ACT,0.00,0,254
10/25/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/25/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,139,0.00,0 %,0.00,ACT,0.00,0,144
10/25/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/25/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,141,0.00,0 %,0.00,ACT,0.00,0,144
10/26/2023,RB341,LTK/KWI,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
10/26/2023,RB341,LTK/KWI,Y,144,0,0,0,0,0,55,0.00,0 %,0.00,ACT,0.00,0,144
10/26/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,27
10/26/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,60,0.00,0 %,0.00,ACT,0.00,0,254
10/26/2023,RB342,KWI/LTK,C,11,0,0,0,0,0,8,0.00,0 %,0.00,ACT,0.00,0,11
10/26/2023,RB342,KWI/LTK,Y,144,0,0,0,0,0,77,0.00,0 %,0.00,ACT,0.00,0,144
10/26/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,27
10/26/2023,RB516,DXB/LTK,Y,250,0,0,0,0,0,152,0.00,0 %,0.00,ACT,0.00,0,250
10/26/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/26/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,139,0.00,0 %,0.00,ACT,0.00,0,144
10/26/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/26/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,134,0.00,0 %,0.00,ACT,0.00,0,144
10/26/2023,RB521,LTK/DOH,C,27,0,0,0,0,0,23,0.00,0 %,0.00,ACT,0.00,0,27
10/26/2023,RB521,LTK/DOH,Y,250,0,0,0,0,0,72,0.00,0 %,0.00,ACT,0.00,0,250
10/26/2023,RB531,LTK/BGW,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/26/2023,RB531,LTK/BGW,Y,144,0,0,0,0,0,115,0.00,0 %,0.00,ACT,0.00,0,144
10/26/2023,RB522,DOH/LTK,C,27,0,0,0,0,0,26,0.00,0 %,0.00,ACT,0.00,0,27
10/26/2023,RB522,DOH/LTK,Y,254,0,0,0,0,0,139,0.00,0 %,0.00,ACT,0.00,0,254
10/26/2023,RB532,BGW/LTK,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/26/2023,RB532,BGW/LTK,Y,144,0,0,0,0,0,141,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB121,DAM/KAC,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB121,DAM/KAC,Y,144,0,0,0,0,0,137,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB501,LTK/SHJ,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB501,LTK/SHJ,Y,144,0,0,0,0,0,40,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB122,KAC/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB122,KAC/DAM,Y,144,0,0,0,0,0,140,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB503,LTK/AUH,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB503,LTK/AUH,Y,144,0,0,0,0,0,36,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB502,SHJ/LTK,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB502,SHJ/LTK,Y,144,0,0,0,0,0,52,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB504,AUH/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB504,AUH/LTK,Y,144,0,0,0,0,0,63,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB533,DAM/NJF,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB533,DAM/NJF,Y,144,0,0,0,0,0,80,0.00,0 %,0.00,ACT,0.00,0,144
10/27/2023,RB534,NJF/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/27/2023,RB534,NJF/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
10/28/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/28/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,134,0.00,0 %,0.00,ACT,0.00,0,144
10/28/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
10/28/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,120,0.00,0 %,0.00,ACT,0.00,0,144
10/28/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,13,0.00,0 %,0.00,ACT,0.00,0,27
10/28/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,28,0.00,0 %,0.00,ACT,0.00,0,254
10/28/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,19,0.00,0 %,0.00,ACT,0.00,0,27
10/28/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,133,0.00,0 %,0.00,ACT,0.00,0,254
10/28/2023,RB341,LTK/KWI,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
10/28/2023,RB341,LTK/KWI,Y,144,0,0,0,0,0,23,0.00,0 %,0.00,ACT,0.00,0,144
10/28/2023,RB521,LTK/DOH,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
10/28/2023,RB521,LTK/DOH,Y,144,0,0,0,0,0,22,0.00,0 %,0.00,ACT,0.00,0,144
10/28/2023,RB342,KWI/LTK,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
10/28/2023,RB342,KWI/LTK,Y,144,0,0,0,0,0,111,0.00,0 %,0.00,ACT,0.00,0,144
10/29/2023,RB522,DOH/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
