agent_code,agent_name,current_sale_usd,ytd_sale_month_usd,ytd_sale_usd,report_from_date,report_to_date
GSA8,ANTA Travel & Tourism,245276.78,245276.78,6188404.51,2025-08-01,2025-08-25
GSA10,DOHA OFFICE TRAVEL,93649.62,93649.62,2538635.5,2025-08-01,2025-08-25
GSA19,ISTEHKAK FOR TOURISM SERVICES,20512.55,20512.55,20512.55,2025-08-01,2025-08-25
GSA3,Orient Travels,95442.58,95442.58,3545999.98,2025-08-01,2025-08-25
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,123262.91,123262.91,2043791.75,2025-08-01,2025-08-25
GSA7,SALEM TRAVEL AGENCY,88353.45,88353.45,2974485.23,2025-08-01,2025-08-25
GSA18,SARIGOL TYRIZM -,21145.39,21145.39,78807.76,2025-08-01,2025-08-25
GSA15,alshahin travel & tourism,222879.89,222879.89,2606854.49,2025-08-01,2025-08-25
DAM118,ADVANCED,6351.01,6351.01,45637.48,2025-08-01,2025-08-25
DXB10,AIRLINK INTERNATIONAL UAE,1066.61,1066.61,45068.73,2025-08-01,2025-08-25
HSK2,AKAD TRAVEL HASAKEH,311.55,311.55,21672.99,2025-08-01,2025-08-25
SHJ6,AL FAISAL TRAVEL AGENCY,3864.12,3864.12,72362.25,2025-08-01,2025-08-25
AUH1,AL JABER TRAVEL LLC,40.88,40.88,14229.44,2025-08-01,2025-08-25
DXB48,AL MOUKTAR TRAVEL & TOURISM LLC,14812.55,14812.55,195573.1,2025-08-01,2025-08-25
DXB84,AL MUTAMYZON TRAVEL AND TOURISM,648.13,648.13,6302.16,2025-08-01,2025-08-25
DXB44,AL ZAMEL TRAVEL & TOURISM,4647.26,4647.26,130347.53,2025-08-01,2025-08-25
QHM13,AL asal usd,3390.79,3390.79,4021.86,2025-08-01,2025-08-25
DAM57,ALAGHAR,9062.22,9062.22,81898.59,2025-08-01,2025-08-25
DXB22,ALAGHARDXB,5801.12,5801.12,114126.35,2025-08-01,2025-08-25
KWI3,ALAJWA,2067.78,2067.78,63046.01,2025-08-01,2025-08-25
DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,18012.91,18012.91,153141.41,2025-08-01,2025-08-25
DAM203,ALANWAR,543.42,543.42,543.42,2025-08-01,2025-08-25
DAM204,ALANWAR usd,2464.26,2464.26,2464.26,2025-08-01,2025-08-25
ALP10,ALASAAD,261.2,261.2,4685.07,2025-08-01,2025-08-25
