Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail,report_from_date,report_to_date
ALP10,ALASAAD,,00218,SYP,"39,459,083.00","2,818,422.00","6,196,028.00",0.0,"48,473,533.00",0.00,48473533.0,Detail,2023-10-25,2023-10-25
ALP2,AZBAKIA SALES OFFICE,,09632114,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
AUH15,Mercator travel,,AUH00024,AED,"1,136.00",182.00,881.00,0.0,"2,199.00",0.00,2199.0,Detail,2023-10-25,2023-10-25
AUH3,PALM OASIS,,AUH0007,AED,405.00,155.00,440.00,0.0,"1,000.00",0.00,1000.0,Detail,2023-10-25,2023-10-25
AUH5,MAKAREM,,AUH00011,AED,677.00,182.00,880.00,0.0,"1,739.00",0.00,1739.0,Detail,2023-10-25,2023-10-25
AUH6,TAJWAL,,AUH0002,AED,405.00,155.00,440.00,0.0,"1,000.00",0.00,1000.0,Detail,2023-10-25,2023-10-25
BGW10,BAGHDAD-C,,00306,USD,-145.37,-33.00,-50.02,0.0,0.00,228.39,-228.39,Detail,2023-10-25,2023-10-25
CAI1,CAIRO SALES OFFICE,,00202215,EGP,"-8,181.00","-2,969.00","-2,814.00",0.0,"39,126.00","53,090.00",-13964.0,Detail,2023-10-25,2023-10-25
CAI1,CAIRO SALES OFFICE,,00202215,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
CAI10,TOYOR AL JANAH TOURS,,002021,EGP,"4,790.00",204.00,"2,998.00",0.0,"7,992.00",0.00,7992.0,Detail,2023-10-25,2023-10-25
CAI16,HELEN HOLEDAYS,,CAI002025,EGP,"13,905.00","3,219.00","6,213.00",0.0,"23,337.00",0.00,23337.0,Detail,2023-10-25,2023-10-25
CAI4,AIR LINK TRAVEL,,002015,EGP,"10,136.00","2,350.00","6,211.00",0.0,"18,697.00",0.00,18697.0,Detail,2023-10-25,2023-10-25
CAI6,GROUP TEN TRAVEL,,002017,EGP,"3,956.00","2,146.00","4,140.00",0.0,"10,242.00",0.00,10242.0,Detail,2023-10-25,2023-10-25
CAI8,APHRODIT TRAVEL,,002019,EGP,"4,635.00","1,073.00","2,071.00",0.0,"7,779.00",0.00,7779.0,Detail,2023-10-25,2023-10-25
DAM102,YAS,,00198,SYP,"27,817,268.00","5,055,477.00","19,315,534.00",0.0,"56,184,696.00","3,996,417.00",52188279.0,Detail,2023-10-25,2023-10-25
DAM102,YAS,,00198,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM108,PHOENIX,,00210,SYP,"12,891,239.00","2,242,257.00","8,669,439.00",0.0,"23,802,935.00",0.00,23802935.0,Detail,2023-10-25,2023-10-25
DAM11,SYSTEMS MANAGEMENT SECTION,,000003,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM111,ADONIA,,00214,SYP,"4,010,633.00","711,627.00","2,774,157.00",0.0,"10,216,828.00","2,720,411.00",7496417.0,Detail,2023-10-25,2023-10-25
DAM119,SHURBAJI,,00227,SYP,"3,748,960.00","741,678.00","2,774,156.00",0.0,"7,264,794.00",0.00,7264794.0,Detail,2023-10-25,2023-10-25
DAM127,ALTAYR ALHUR,,00238,SYP,"6,148,867.00","569,233.00","1,771,498.00",0.0,"8,489,598.00",0.00,8489598.0,Detail,2023-10-25,2023-10-25
DAM133,SKY MAGIC,,00246,SYP,"185,223,067.00","27,443,835.00","114,056,392.00",0.0,"341,998,260.00","15,274,966.00",326723294.0,Detail,2023-10-25,2023-10-25
DAM133,SKY MAGIC,,00246,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM144,HALLA SYRIA,,0075,SYP,"12,644,475.00","1,226,423.00","5,895,513.00",0.0,"19,766,411.00",0.00,19766411.0,Detail,2023-10-25,2023-10-25
DAM146,ALHASHIME INTRNATIONAL,,0079,SYP,"2,253,814.00","155,455.00","774,619.00",0.0,"3,183,888.00",0.00,3183888.0,Detail,2023-10-25,2023-10-25
DAM147,ALAOUS TRAVEL,,00236,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM148,TAIMALSHAM TRAVEL,,00239,SYP,"5,634,536.00","389,389.00","2,323,855.00",0.0,"8,347,780.00",0.00,8347780.0,Detail,2023-10-25,2023-10-25
DAM2,ALHIJAZ OFFICE,9631182.0,09631182,SYP,"14,636,153.00","2,631,762.00","7,444,753.00",0.0,"24,712,668.00",0.00,24712668.0,Detail,2023-10-25,2023-10-25
DAM2,ALHIJAZ OFFICE,9631182.0,09631182,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM25,LAYAL TRAVEL,,00101,SYP,"29,857,258.00","4,284,326.00","18,518,493.00",0.0,"52,660,077.00",0.00,52660077.0,Detail,2023-10-25,2023-10-25
DAM25,LAYAL TRAVEL,,00101,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM26,MAWAKEB ALSHARQ,,00102,SYP,"4,877,484.00","340,962.00","2,774,388.00",0.0,"7,992,834.00",0.00,7992834.0,Detail,2023-10-25,2023-10-25
DAM3,AL FARDOS,9631123.0,09631123,SYP,"-42,988,478.00","-8,184,746.00","-22,936,104.00",0.0,"20,267,916.00","94,377,244.00",-74109328.0,Detail,2023-10-25,2023-10-25
DAM3,AL FARDOS,9631123.0,09631123,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM32,ALSHRIAA,,00108,SYP,"2,265,372.00","164,471.00","867,083.00",0.0,"3,296,926.00",0.00,3296926.0,Detail,2023-10-25,2023-10-25
DAM36,ALRAMAT,,00112,SYP,"14,082,175.00","1,633,264.00","8,461,398.00",0.0,"39,395,861.00","15,219,024.00",24176837.0,Detail,2023-10-25,2023-10-25
DAM36,ALRAMAT,,00112,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM4,SABAA BAHRAT,9631160.0,0961160,SYP,"55,375,636.00","3,977,922.00","9,316,347.00",0.0,"68,669,905.00",0.00,68669905.0,Detail,2023-10-25,2023-10-25
DAM4,SABAA BAHRAT,9631160.0,0961160,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,,00119,SYP,"79,027,622.00","13,987,633.00","50,637,770.00",0.0,"150,700,875.00","7,047,850.00",143653025.0,Detail,2023-10-25,2023-10-25
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,,00119,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM48,MOUNTAIN ROSE,,00124,SYP,"2,265,372.00","164,471.00","867,083.00",0.0,"3,296,926.00",0.00,3296926.0,Detail,2023-10-25,2023-10-25
DAM51,ALMUDIFAH,,00126,SYP,"2,438,742.00","170,481.00","1,387,194.00",0.0,"3,996,417.00",0.00,3996417.0,Detail,2023-10-25,2023-10-25
DAM55,ODYSSEY,,00131,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM56,ALSAYED,,00132,SYP,"3,143,782.00","681,230.00","2,774,156.00",0.0,"6,599,168.00",0.00,6599168.0,Detail,2023-10-25,2023-10-25
DAM63,ALSHAHEEN,,00141,SYP,"4,299,584.00","320,620.00","2,774,386.00",0.0,"7,394,590.00",0.00,7394590.0,Detail,2023-10-25,2023-10-25
DAM67,ALDAWLY,,00147,SYP,"9,746,301.00","1,167,939.00","5,375,405.00",0.0,"16,289,645.00",0.00,16289645.0,Detail,2023-10-25,2023-10-25
DAM69,ORFALI,,00151,SYP,0.00,"5,663.00",0.00,0.0,"5,663.00",0.00,5663.0,Detail,2023-10-25,2023-10-25
DAM7,AIRPORT SALES OFFICE,,09631145,SYP,"898,174.00","74,779.00","57,791.00",0.0,"1,030,744.00",0.00,1030744.0,Detail,2023-10-25,2023-10-25
DAM7,AIRPORT SALES OFFICE,,09631145,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM73,ALRASSAM,,00156,SYP,"-2,245,145.00","-158,574.00","-3,098,708.00",0.0,"17,282,477.00","22,784,904.00",-5502427.0,Detail,2023-10-25,2023-10-25
DAM73,ALRASSAM,,00156,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM77,SKY SYRIA,,00161,SYP,"2,253,814.00","155,455.00","774,619.00",0.0,"3,183,888.00",0.00,3183888.0,Detail,2023-10-25,2023-10-25
DAM8,RESERVATION SECTION,,000001,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM82,ALMARSA,,00163,SYP,"12,812,066.00","855,524.00","4,855,525.00",0.0,"18,523,115.00",0.00,18523115.0,Detail,2023-10-25,2023-10-25
DAM83,PALMYRA,,00165,SYP,"42,469,946.00","5,081,481.00","22,506,940.00",0.0,"94,946,947.00","24,888,580.00",70058367.0,Detail,2023-10-25,2023-10-25
DAM83,PALMYRA,,00165,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM84,HOMS SALES OFFICE,,09633116,SYP,"3,802,589.00","661,697.00","1,733,934.00",0.0,"6,198,220.00",0.00,6198220.0,Detail,2023-10-25,2023-10-25
DAM84,HOMS SALES OFFICE,,09633116,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DAM90,DIMAS,,00175,SYP,"2,438,742.00","170,481.00","1,387,194.00",0.0,"3,996,417.00",0.00,3996417.0,Detail,2023-10-25,2023-10-25
DAM95,SYRIA LINK,,00180,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DEZ2,MARI,,00149,SYP,"72,231,853.00","11,427,879.00","50,444,748.00",0.0,"154,693,708.00","20,589,228.00",134104480.0,Detail,2023-10-25,2023-10-25
DEZ2,MARI,,00149,USD,0.00,0.00,0.00,0.0,0.00,0.00,0.0,Detail,2023-10-25,2023-10-25
DEZ4,ATIEA,,00185,SYP,"2,843,273.00","184,697.00","867,083.00",0.0,"3,895,053.00",0.00,3895053.0,Detail,2023-10-25,2023-10-25
