"Departure Date

","Flight Number
","Segment
","Booked Load
(Adult/Infant)","Go Shows
",No Recs.,No Shows,"Flown Load
",report_from_date,report_to_date
08/01/2025,RB505,DAM/SHJ,68 \ 3,0.0,0.0,0.0,71,2025-08-01,
08/01/2025,RB503,DAM/AUH,86 \ 1,0.0,0.0,1.0,86,2025-08-01,
08/01/2025,RB515,DAM/DXB,102 \ 2,0.0,0.0,7.0,97,2025-08-01,
08/01/2025,RB506,SHJ/DAM,117 \ 2,0.0,0.0,2.0,114,2025-08-01,
08/01/2025,RB504,AUH/DAM,124 \ 5,0.0,0.0,7.0,121,2025-08-01,
08/01/2025,RB516,DXB/DAM,128 \ 3,0.0,0.0,7.0,124,2025-08-01,
08/01/2025,RB501,DAM/SHJ,90 \ 2,0.0,0.0,2.0,90,2025-08-01,
08/01/2025,RB443,DAM/IST,72 \ 1,0.0,0.0,1.0,72,2025-08-01,
08/01/2025,RB389,DAM/RUH,156 \ 3,0.0,0.0,1.0,158,2025-08-01,
08/01/2025,RB502,SHJ/DAM,75 \ 0,0.0,0.0,1.0,74,2025-08-01,
08/01/2025,RB444,IST/DAM,145 \ 4,0.0,0.0,1.0,148,2025-08-01,
08/01/2025,RB390,RUH/DAM,55 \ 3,0.0,0.0,0.0,58,2025-08-01,
08/02/2025,RB505,DAM/SHJ,73 \ 3,0.0,0.0,1.0,75,2025-08-01,
08/02/2025,RB515,DAM/DXB,79 \ 3,0.0,0.0,1.0,81,2025-08-01,
08/02/2025,RB389,DAM/RUH,134 \ 1,0.0,0.0,1.0,134,2025-08-01,
08/02/2025,RB506,SHJ/DAM,82 \ 6,0.0,0.0,0.0,88,2025-08-01,
08/02/2025,RB390,RUH/DAM,71 \ 6,0.0,0.0,0.0,77,2025-08-01,
08/02/2025,RB516,DXB/DAM,126 \ 3,0.0,1.0,11.0,117,2025-08-01,
08/02/2025,RB521,DAM/DOH,141 \ 5,0.0,0.0,1.0,145,2025-08-01,
08/02/2025,RB501,DAM/SHJ,111 \ 2,0.0,0.0,3.0,110,2025-08-01,
08/02/2025,RB341,DAM/KWI,96 \ 2,0.0,0.0,2.0,96,2025-08-01,
08/02/2025,RB522,DOH/DAM,123 \ 9,0.0,0.0,1.0,131,2025-08-01,
08/02/2025,RB342,KWI/DAM,147 \ 9,0.0,0.0,2.0,154,2025-08-01,
08/02/2025,RB502,SHJ/DAM,47 \ 0,0.0,1.0,0.0,46,2025-08-01,
08/02/2025,RB445,DAM/IST,30 \ 0,0.0,0.0,1.0,29,2025-08-01,
08/02/2025,RB446,IST/DAM,75 \ 2,0.0,0.0,0.0,77,2025-08-01,
08/03/2025,RB505,DAM/SHJ,88 \ 3,0.0,0.0,4.0,87,2025-08-01,
08/03/2025,RB381,DAM/JED,30 \ 1,0.0,0.0,1.0,30,2025-08-01,
08/03/2025,RB515,DAM/DXB,114 \ 2,0.0,0.0,0.0,116,2025-08-01,
08/03/2025,RB506,SHJ/DAM,91 \ 8,0.0,1.0,1.0,97,2025-08-01,
08/03/2025,RB382,JED/DAM,44 \ 0,0.0,0.0,3.0,41,2025-08-01,
08/03/2025,RB516,DXB/DAM,102 \ 3,0.0,0.0,2.0,103,2025-08-01,
08/03/2025,RB443,DAM/IST,83 \ 3,0.0,0.0,1.0,85,2025-08-01,
08/03/2025,RB501,DAM/SHJ,124 \ 4,0.0,0.0,1.0,127,2025-08-01,
08/03/2025,RB444,IST/DAM,111 \ 1,0.0,0.0,4.0,108,2025-08-01,
08/03/2025,RB502,SHJ/DAM,41 \ 0,0.0,0.0,1.0,40,2025-08-01,
08/04/2025,RB389,DAM/RUH,104 \ 2,0.0,0.0,2.0,102,2025-08-01,
08/04/2025,RB443,DAM/IST,25 \ 0,0.0,0.0,0.0,25,2025-08-01,
08/04/2025,RB515,DAM/DXB,64 \ 1,0.0,0.0,2.0,63,2025-08-01,
08/04/2025,RB390,RUH/DAM,50 \ 2,0.0,0.0,3.0,49,2025-08-01,
08/04/2025,RB444,IST/ALP,139 \ 7,0.0,0.0,4.0,142,2025-08-01,
08/04/2025,RB516,DXB/DAM,73 \ 3,0.0,0.0,0.0,76,2025-08-01,
08/04/2025,RB517,ALP/DXB,139 \ 3,0.0,0.0,1.0,141,2025-08-01,
08/04/2025,RB501,DAM/SHJ,115 \ 1,0.0,0.0,0.0,116,2025-08-01,
08/04/2025,RB518,DXB/ALP,120 \ 5,0.0,1.0,0.0,123,2025-08-01,
08/04/2025,RB521,DAM/DOH,76 \ 2,0.0,0.0,1.0,77,2025-08-01,
08/04/2025,RB502,SHJ/DAM,51 \ 1,0.0,2.0,4.0,45,2025-08-01,
08/04/2025,RB522,DOH/DAM,63 \ 4,0.0,0.0,0.0,67,2025-08-01,
08/04/2025,RB445,ALP/IST,86 \ 0,0.0,0.0,1.0,85,2025-08-01,
08/04/2025,RB446,IST/DAM,81 \ 4,0.0,0.0,0.0,85,2025-08-01,
08/05/2025,RB515,DAM/DXB,99 \ 3,0.0,0.0,1.0,101,2025-08-01,
08/05/2025,RB516,DXB/DAM,68 \ 3,0.0,1.0,0.0,70,2025-08-01,
08/05/2025,RB503,DAM/AUH,123 \ 7,0.0,0.0,0.0,130,2025-08-01,
08/05/2025,RB501,DAM/SHJ,101 \ 1,0.0,1.0,0.0,101,2025-08-01,
08/05/2025,RB443,DAM/IST,90 \ 3,0.0,0.0,0.0,93,2025-08-01,
08/05/2025,RB504,AUH/DAM,71 \ 1,0.0,0.0,1.0,71,2025-08-01,
08/05/2025,RB502,SHJ/DAM,61 \ 0,0.0,0.0,1.0,60,2025-08-01,
08/05/2025,RB444,IST/DAM,120 \ 4,0.0,0.0,2.0,122,2025-08-01,
08/06/2025,RB505,DAM/SHJ,105 \ 5,0.0,0.0,0.0,110,2025-08-01,
08/06/2025,RB515,DAM/DXB,63 \ 2,0.0,0.0,0.0,65,2025-08-01,
08/06/2025,RB389,DAM/RUH,92 \ 5,0.0,0.0,2.0,95,2025-08-01,
08/06/2025,RB506,SHJ/DAM,94 \ 5,0.0,0.0,11.0,88,2025-08-01,
08/06/2025,RB390,RUH/DAM,63 \ 0,0.0,0.0,4.0,59,2025-08-01,
08/06/2025,RB516,DXB/DAM,61 \ 0,0.0,0.0,2.0,59,2025-08-01,
08/06/2025,RB521,DAM/DOH,122 \ 3,0.0,0.0,1.0,124,2025-08-01,
08/06/2025,RB501,DAM/SHJ,141 \ 8,0.0,1.0,1.0,147,2025-08-01,
08/06/2025,RB443,DAM/IST,80 \ 1,0.0,0.0,4.0,77,2025-08-01,
08/06/2025,RB522,DOH/DAM,92 \ 5,0.0,10.0,3.0,83,2025-08-01,
08/06/2025,RB502,SHJ/DAM,58 \ 1,0.0,0.0,1.0,58,2025-08-01,
08/06/2025,RB444,IST/DAM,86 \ 2,0.0,1.0,0.0,87,2025-08-01,
08/07/2025,RB505,DAM/SHJ,109 \ 2,0.0,0.0,0.0,111,2025-08-01,
08/07/2025,RB515,DAM/DXB,80 \ 4,0.0,0.0,1.0,83,2025-08-01,
08/07/2025,RB527,DAM/DMM,139 \ 4,0.0,0.0,0.0,143,2025-08-01,
08/07/2025,RB506,SHJ/DAM,75 \ 2,0.0,0.0,2.0,75,2025-08-01,
08/07/2025,RB528,DMM/DAM,48 \ 6,0.0,0.0,0.0,54,2025-08-01,
08/07/2025,RB516,DXB/DAM,92 \ 1,0.0,0.0,3.0,90,2025-08-01,
08/07/2025,RB381,DAM/JED,109 \ 0,0.0,0.0,1.0,108,2025-08-01,
08/07/2025,RB501,DAM/SHJ,109 \ 2,0.0,0.0,2.0,109,2025-08-01,
08/07/2025,RB341,DAM/KWI,120 \ 1,0.0,0.0,1.0,120,2025-08-01,
08/07/2025,RB382,JED/DAM,22 \ 0,0.0,0.0,0.0,22,2025-08-01,
08/07/2025,RB342,KWI/DAM,149 \ 6,0.0,0.0,8.0,147,2025-08-01,
08/07/2025,RB502,SHJ/DAM,55 \ 0,0.0,0.0,0.0,55,2025-08-01,
08/07/2025,RB445,DAM/IST,49 \ 0,0.0,0.0,0.0,49,2025-08-01,
08/07/2025,RB446,IST/DAM,81 \ 1,0.0,0.0,1.0,81,2025-08-01,
08/08/2025,RB505,DAM/SHJ,114 \ 2,0.0,0.0,0.0,116,2025-08-01,
08/08/2025,RB503,DAM/AUH,125 \ 2,0.0,0.0,0.0,127,2025-08-01,
08/08/2025,RB515,DAM/DXB,145 \ 1,0.0,0.0,1.0,145,2025-08-01,
08/08/2025,RB506,SHJ/DAM,93 \ 4,0.0,0.0,0.0,96,2025-08-01,
08/08/2025,RB504,AUH/DAM,112 \ 2,0.0,0.0,7.0,106,2025-08-01,
08/08/2025,RB516,DXB/DAM,111 \ 2,0.0,0.0,3.0,110,2025-08-01,
08/08/2025,RB501,DAM/SHJ,119 \ 2,0.0,0.0,3.0,118,2025-08-01,
08/08/2025,RB443,DAM/IST,87 \ 1,0.0,0.0,3.0,85,2025-08-01,
08/08/2025,RB389,DAM/RUH,152 \ 2,0.0,0.0,0.0,154,2025-08-01,
08/08/2025,RB502,SHJ/DAM,49 \ 1,0.0,0.0,5.0,45,2025-08-01,
08/08/2025,RB444,IST/DAM,121 \ 4,0.0,0.0,5.0,120,2025-08-01,
08/08/2025,RB390,RUH/DAM,55 \ 0,0.0,1.0,3.0,51,2025-08-01,
08/09/2025,RB505,DAM/SHJ,108 \ 1,0.0,0.0,0.0,109,2025-08-01,
08/09/2025,RB515,DAM/DXB,118 \ 2,0.0,0.0,3.0,117,2025-08-01,
08/09/2025,RB389,DAM/RUH,116 \ 2,0.0,0.0,2.0,116,2025-08-01,
08/09/2025,RB506,SHJ/DAM,77 \ 1,0.0,1.0,2.0,75,2025-08-01,
08/09/2025,RB390,RUH/DAM,57 \ 0,0.0,0.0,0.0,55,2025-08-01,
08/09/2025,RB516,DXB/DAM,103 \ 2,0.0,0.0,5.0,99,2025-08-01,
08/09/2025,RB521,DAM/DOH,148 \ 3,0.0,0.0,0.0,151,2025-08-01,
08/09/2025,RB501,DAM/SHJ,137 \ 7,0.0,1.0,1.0,142,2025-08-01,
08/09/2025,RB341,DAM/KWI,106 \ 4,0.0,0.0,1.0,109,2025-08-01,
08/09/2025,RB522,DOH/DAM,75 \ 4,0.0,0.0,5.0,74,2025-08-01,
08/09/2025,RB342,KWI/DAM,144 \ 5,0.0,0.0,1.0,148,2025-08-01,
08/09/2025,RB502,SHJ/DAM,44 \ 2,0.0,0.0,1.0,45,2025-08-01,
08/09/2025,RB445,DAM/IST,46 \ 2,0.0,0.0,0.0,48,2025-08-01,
08/09/2025,RB446,IST/DAM,75 \ 3,0.0,0.0,0.0,78,2025-08-01,
08/10/2025,RB505,DAM/SHJ,112 \ 2,0.0,0.0,2.0,112,2025-08-01,
08/10/2025,RB381,DAM/JED,58 \ 1,0.0,0.0,0.0,59,2025-08-01,
08/10/2025,RB515,DAM/DXB,131 \ 4,0.0,0.0,1.0,134,2025-08-01,
08/10/2025,RB506,SHJ/DAM,96 \ 3,0.0,1.0,3.0,95,2025-08-01,
08/10/2025,RB382,JED/DAM,48 \ 1,0.0,0.0,0.0,49,2025-08-01,
08/10/2025,RB516,DXB/DAM,110 \ 4,0.0,0.0,3.0,111,2025-08-01,
08/10/2025,RB443,DAM/IST,101 \ 1,0.0,0.0,0.0,102,2025-08-01,
08/10/2025,RB501,DAM/SHJ,149 \ 4,0.0,0.0,1.0,152,2025-08-01,
08/10/2025,RB444,IST/DAM,111 \ 4,0.0,0.0,1.0,114,2025-08-01,
08/10/2025,RB502,SHJ/DAM,50 \ 2,0.0,0.0,2.0,50,2025-08-01,
08/11/2025,RB389,DAM/RUH,132 \ 6,0.0,0.0,2.0,136,2025-08-01,
08/11/2025,RB443,DAM/IST,67 \ 0,0.0,0.0,0.0,67,2025-08-01,
08/11/2025,RB515,DAM/DXB,124 \ 3,0.0,0.0,5.0,122,2025-08-01,
08/11/2025,RB390,RUH/DAM,37 \ 1,0.0,0.0,0.0,38,2025-08-01,
08/11/2025,RB444,IST/ALP,134 \ 1,0.0,0.0,4.0,130,2025-08-01,
08/11/2025,RB516,DXB/DAM,70 \ 0,0.0,0.0,1.0,69,2025-08-01,
08/11/2025,RB517,ALP/DXB,149 \ 2,0.0,0.0,0.0,151,2025-08-01,
08/11/2025,RB501,DAM/SHJ,153 \ 4,0.0,0.0,1.0,156,2025-08-01,
08/11/2025,RB518,DXB/ALP,89 \ 3,0.0,0.0,1.0,91,2025-08-01,
08/11/2025,RB521,DAM/DOH,156 \ 6,0.0,2.0,1.0,159,2025-08-01,
08/11/2025,RB502,SHJ/DAM,39 \ 0,0.0,1.0,2.0,35,2025-08-01,
08/11/2025,RB522,DOH/DAM,24 \ 1,0.0,0.0,5.0,20,2025-08-01,
08/11/2025,RB445,ALP/IST,89 \ 2,0.0,0.0,4.0,87,2025-08-01,
08/11/2025,RB446,IST/DAM,60 \ 0,0.0,0.0,3.0,56,2025-08-01,
08/12/2025,RB515,DAM/DXB,111 \ 2,0.0,0.0,3.0,110,2025-08-01,
08/12/2025,RB341,DAM/KWI,2 \ 0,0.0,0.0,0.0,0,2025-08-01,
08/12/2025,RB516,DXB/DAM,75 \ 1,0.0,0.0,0.0,76,2025-08-01,
08/12/2025,RB503,DAM/AUH,159 \ 8,0.0,0.0,1.0,166,2025-08-01,
08/12/2025,RB501,DAM/SHJ,153 \ 6,0.0,0.0,1.0,158,2025-08-01,
08/12/2025,RB443,DAM/IST,139 \ 1,0.0,48.0,0.0,92,2025-08-01,
08/12/2025,RB504,AUH/DAM,70 \ 4,0.0,0.0,3.0,71,2025-08-01,
08/12/2025,RB502,SHJ/DAM,53 \ 1,0.0,0.0,1.0,53,2025-08-01,
08/12/2025,RB444,IST/DAM,92 \ 1,0.0,0.0,1.0,92,2025-08-01,
08/13/2025,RB505,DAM/SHJ,110 \ 3,0.0,0.0,0.0,113,2025-08-01,
08/13/2025,RB515,DAM/DXB,132 \ 8,0.0,0.0,0.0,140,2025-08-01,
08/13/2025,RB389,DAM/RUH,150 \ 3,0.0,0.0,2.0,151,2025-08-01,
08/13/2025,RB506,SHJ/DAM,69 \ 1,0.0,0.0,1.0,69,2025-08-01,
08/13/2025,RB390,RUH/DAM,46 \ 1,0.0,0.0,1.0,45,2025-08-01,
08/13/2025,RB516,DXB/DAM,87 \ 3,0.0,0.0,0.0,89,2025-08-01,
08/13/2025,RB521,DAM/DOH,152 \ 8,0.0,0.0,1.0,158,2025-08-01,
08/13/2025,RB501,DAM/SHJ,147 \ 6,0.0,0.0,1.0,152,2025-08-01,
08/13/2025,RB443,DAM/IST,85 \ 1,0.0,0.0,1.0,85,2025-08-01,
08/13/2025,RB522,DOH/DAM,97 \ 4,0.0,0.0,10.0,90,2025-08-01,
08/13/2025,RB502,SHJ/DAM,31 \ 1,0.0,0.0,2.0,30,2025-08-01,
08/13/2025,RB444,IST/DAM,117 \ 5,0.0,0.0,1.0,121,2025-08-01,
08/14/2025,RB505,DAM/SHJ,107 \ 7,0.0,0.0,0.0,114,2025-08-01,
08/14/2025,RB515,DAM/DXB,148 \ 5,0.0,0.0,1.0,152,2025-08-01,
08/14/2025,RB527,DAM/DMM,159 \ 4,0.0,0.0,0.0,163,2025-08-01,
08/14/2025,RB506,SHJ/DAM,74 \ 2,0.0,0.0,1.0,75,2025-08-01,
08/14/2025,RB528,DMM/DAM,60 \ 3,0.0,0.0,0.0,63,2025-08-01,
08/14/2025,RB516,DXB/DAM,56 \ 1,0.0,0.0,4.0,53,2025-08-01,
08/14/2025,RB381,DAM/JED,155 \ 4,0.0,0.0,1.0,158,2025-08-01,
08/14/2025,RB501,DAM/SHJ,149 \ 6,0.0,0.0,0.0,155,2025-08-01,
08/14/2025,RB341,DAM/KWI,145 \ 5,0.0,0.0,3.0,147,2025-08-01,
