Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,Unnamed: 12,Unnamed: 13,Emails Sent,Detail,report_year,report_month
DXB76,SKAZKA TOURISM & TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000108.0,110.00,62.13,40.88,381.75,594.76,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM109,LUXOR,DAM,SY-DAMASCUS,Syria,DMS,250801000054.0,"2,198.30",929.17,0.00,"3,165.00",6292.47,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB40,JABOR TRAVEL AND TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000118.0,"1,574.10",910.70,40.88,"3,300.00",5825.68,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB13,FLYIN,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000117.0,"5,575.72","2,657.89",122.37,"9,540.00",17895.98,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB8,UNITED TOURIST MANAGEMENT LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000025.0,"3,430.02","1,304.01",93.13,"5,040.00",9867.16,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
LTK8,APOLLO TRAVEL AND TOURISM,LTK,SY-LATTAKIA,Syria,DMS,250801000121.0,337.00,124.08,0.00,480.00,941.08,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM204,ALANWAR usd,DAM,SY-DAMASCUS,Syria,DMS,250801000107.0,"1,105.30",225.32,0.00,555.00,1885.62,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI14,ALFANAR,KWI,KW-KUWAIT,Kuwait,KWT,250801000046.0,144.20,19.50,0.00,78.25,241.95,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB57,DARIN TRAVEL AND TOURS LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000143.0,"3,131.28","1,634.62",0.00,"6,270.00",11035.9,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM156,GOLDEN SKY,DAM,SY-DAMASCUS,Syria,DMS,250801000069.0,"10,540.02","2,436.62",0.00,"5,970.00",18946.64,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH3,PALM OASIS,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000116.0,"5,509.97","1,197.85",186.24,"5,205.00",12099.06,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI7,ALSSAFA,KWI,KW-KUWAIT,Kuwait,KWT,250801000114.0,"2,582.28",573.64,194.82,"2,174.75",5525.49,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM203,ALANWAR,DAM,SY-DAMASCUS,Syria,DMS,250801000022.0,143.00,28.71,0.00,75.00,246.71,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB63,ZANOBIA TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000012.0,"5,791.94",730.56,7.91,"3,060.00",9590.41,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000068.0,"4,363.04","1,967.99",40.88,"7,470.00",13841.91,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB53,SKY MASTER TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000101.0,"4,729.20","1,846.65",308.13,"6,255.00",13138.98,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB33,WL T TRAVEL AND TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000067.0,"13,750.36","6,486.37",204.40,"23,610.00",44051.13,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB43,RAMAT TRAVEL AND TOURISM DXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000031.0,"5,815.86","1,776.82",371.76,"6,719.98",14684.42,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI15,FEMEX,KWI,KW-KUWAIT,Kuwait,KWT,250801000047.0,"11,884.59","2,408.70",237.35,"10,199.75",24730.39,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM188,aldawlyusd,DAM,SY-DAMASCUS,Syria,DMS,250801000073.0,"1,811.83",541.16,0.00,"1,650.00",4002.99,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB22,ALAGHARDXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000056.0,"2,886.54",502.33,0.00,"1,725.00",5113.87,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
SHJ11,Prive Creative Travel FZE,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000142.0,992.25,96.86,27.25,720.00,1836.36,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM197,babylon usd,DAM,SY-DAMASCUS,Syria,DMS,250801000080.0,128.00,28.18,0.00,75.00,231.18,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DEZ6,ALNEMR TRAVEL,DEZ,SY-DEREZZOUR,Syria,DMS,250801000120.0,"1,114.50",183.14,0.00,375.00,1672.64,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI30,QGO,KWI,KW-KUWAIT,Kuwait,KWT,250801000139.0,353.10,69.19,0.00,231.50,653.79,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM57,ALAGHAR,DAM,SY-DAMASCUS,Syria,DMS,250801000129.0,"4,424.07","1,223.15",25.00,"3,315.00",8987.22,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI28,EJAZA CLUB,KWI,KW-KUWAIT,Kuwait,KWT,250801000169.0,"26,591.92","5,625.59",845.95,"21,533.75",54597.21,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM193,yas usd,DAM,SY-DAMASCUS,Syria,DMS,250801000074.0,"3,934.27","1,042.21",90.00,"3,105.00",8171.48,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI31,AZYAN TRAVEL & TOURISM,KWI,KW-KUWAIT,Kuwait,KWT,250801000119.0,"3,926.59",746.23,0.00,"2,091.50",6764.32,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM207,world link usd,DAM,SY-DAMASCUS,Syria,DMS,250801000044.0,687.50,170.85,0.00,540.00,1398.35,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA15,alshahin travel & tourism,RUH,SA-RIYADH,Saudi Arabia,KSA,250801000032.0,"75,827.46","17,298.54",573.05,"43,257.75",136956.8,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM98,ASLAN,DAM,SY-DAMASCUS,Syria,DMS,250801000166.0,"19,533.28","4,846.63",25.00,"15,213.25",39618.16,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM67,ALDAWLY,DAM,SY-DAMASCUS,Syria,DMS,250801000113.0,"10,376.26","2,552.93",0.00,"5,976.50",18905.69,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QSW4,SAMA ALOPHOQ,QSW,SY-SWEIDAA,Syria,DMS,250801000130.0,756.55,173.80,0.00,510.00,1440.35,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QHM13,AL asal usd,QHM,SY-HAMA,Syria,DMS,250801000042.0,"1,366.75",312.08,0.00,825.00,2503.83,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST3,moto tour,IST,tr-istanbul,Turkey,IST,250801000034.0,"2,215.20",571.03,30.00,"1,905.00",4721.23,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB25,TOMEH,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000057.0,"1,013.90",495.15,130.88,"1,740.00",3379.93,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM100,ALTAHADI,DAM,SY-DAMASCUS,Syria,DMS,250801000050.0,"1,149.90",217.26,0.00,450.00,1817.16,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AAN2,SAMA AUH,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000140.0,"1,504.99",474.33,50.00,"2,355.00",4384.32,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM56,ALSAYED,DAM,SY-DAMASCUS,Syria,DMS,250801000004.0,999.00,179.10,0.00,375.00,1553.1,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QHM8,LABABEDI,QHM,SY-HAMA,Syria,DMS,250801000030.0,280.00,97.01,0.00,360.00,737.01,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA3,Orient Travels,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000082.0,"19,400.77","8,756.53","1,492.49","33,076.96",62726.62,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM54,SUN LIGHT,DAM,SY-DAMASCUS,Syria,DMS,250801000087.0,"2,462.50",450.40,100.00,"1,230.00",4242.9,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB12,TRANSTOUR,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000007.0,"3,718.00","1,196.44",130.88,"4,470.00",9515.32,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM146,ALHASHIME INTRNATIONAL,DAM,SY-DAMASCUS,Syria,DMS,250801000141.0,"12,950.88","3,055.36",95.50,"9,885.00",25986.74,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM195,shilan usd,DAM,SY-DAMASCUS,Syria,DMS,250801000109.0,189.90,54.05,0.00,150.00,393.95,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
SHJ9,DURAH,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000058.0,417.30,322.66,0.00,"1,380.00",2119.96,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
KWI11,ALSAQR ALOLA,KWI,KW-KUWAIT,Kuwait,KWT,250801000157.0,"1,940.74",514.39,32.47,"1,922.50",4410.1,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH9,MESBAR ALSAADAH,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000092.0,79.30,62.13,0.00,240.00,381.43,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
AUH21,DESTINATIONS OF THE WOELD TRAVEL&TOURISM LLC,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000064.0,489.90,229.42,0.00,"1,440.00",2159.32,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM198,aslan usd,DAM,SY-DAMASCUS,Syria,DMS,250801000078.0,"2,528.56",576.83,0.00,"1,680.00",4785.39,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
