"ALP10,ALASAAD,,218,SYP,""1,735,766.00"",""322,830.00"",""829,187.00"",0,""2,887,783.00"",0,""2,887,783.00"",Detail",report_from_date,report_to_date
"ALP2,AZBAKIA SALES OFFICE,,9632114,SYP,""10,071,199.00"",""1,655,738.00"",""4,725,799.00"",0,""30,534,438.00"",""14,081,702.00"",""16,452,736.00"",Detail",125/8/2025,1/8/2025
"ALP2,AZBAKIA SALES OFFICE,,9632114,USD,378.25,82.66,225,0,685.91,0,685.91,Detail",,
"ALP4,ALMALLA,,136,SYP,""31,508,018.00"",""6,764,840.00"",""19,900,496.00"",0,""58,173,354.00"",0,""58,173,354.00"",Detail",,
"ALP4,ALMALLA,,136,USD,0,0,0,0,0,0,0,Detail",,
"ALP7,ALEPPO AIRPORT SALES OFFICE,9632140,9632140,SYP,""1,752,349.00"",""346,600.00"",""829,188.00"",0,""2,928,137.00"",0,""2,928,137.00"",Detail",,
"AUH10,ALMOUED,,AUH0006,AED,""1,774.00"",595,""2,200.00"",0,""4,569.00"",0,""4,569.00"",Detail",,
"AUH11,GOLDEN LINK,,AUH0008,AED,""3,136.00"",734,""3,076.00"",0,""7,927.00"",981,""6,946.00"",Detail",,
"AUH11,GOLDEN LINK,,AUH0008,USD,0,0,0,0,0,0,0,Detail",,
"AUH14,Arabian nights travel,,AUH00023,AED,""1,216.00"",366,""1,539.00"",0,""3,121.00"",0,""3,121.00"",Detail",,
"AUH16,ATLAS,,AUH00025,AED,""1,299.00"",550,""2,420.00"",0,""4,269.00"",0,""4,269.00"",Detail",,
"AUH21,DESTINATIONS OF THE WOELD TRAVEL&TOURISM LLC,,AUH0026,AED,""2,044.00"",""1,392.00"",""7,042.00"",0,""10,478.00"",0,""10,478.00"",Detail",,
"AUH21,DESTINATIONS OF THE WOELD TRAVEL&TOURISM LLC,,AUH0026,USD,0,0,0,0,0,0,0,Detail",,
"AUH22,OK TRAVELS AND TOURISM LLC,,AUH0030,AED,148,274,878,0,""1,300.00"",0,""1,300.00"",Detail",,
